data,contaminant,lat,lng,valor
2025-02-14,NO,41.386406,2.1873982,29
2025-02-14,NO2,41.386406,2.1873982,67
2025-02-14,NOX,41.386406,2.1873982,87
2025-02-14,O3,41.386406,2.1873982,59
2025-02-14,NO,41.40388,2.204501,38
2025-02-14,NO2,41.40388,2.204501,64
2025-02-14,PM10,41.40388,2.204501,28
2025-02-14,NOX,41.40388,2.204501,93
2025-02-14,O3,41.40388,2.204501,93
2025-01-06,NO,41.386406,2.1873982,11
2025-01-06,NO2,41.386406,2.1873982,62
2025-01-06,NOX,41.386406,2.1873982,78
2025-01-06,O3,41.386406,2.1873982,63
2025-01-06,NO,41.40388,2.204501,9
2025-01-06,NO2,41.40388,2.204501,45
2025-01-06,PM10,41.40388,2.204501,35
2025-01-06,NOX,41.40388,2.204501,54
2025-01-06,O3,41.100723,0.755101,70
2025-02-14,PM10,41.475384,1.9212021,26
2025-02-14,PM10,41.37878,2.133099,22				
2025-02-14,NO2,41.475384,1.9212021,46
2025-02-14,NO2,41.37878,2.133099,62
2025-02-14,NO2,41.443985,2.2378986,75
2025-02-14,NOX,41.475384,1.9212021,119
2025-02-14,NOX,41.37878,2.13309,71
2025-02-14,NOX,41.443985,2.1600,128
2025-01-06,PM10,41.475384,2.1456,32
2025-01-06,PM10,41.37878,2.1753,25				
2025-01-06,NO2,41.475384,2.2000,36	 
2025-02-14,O3,41.303097,1.9914981,52
2025-02-14,NOX,41.303097,1.9914981,66
2025-02-14,SO2,41.303097,1.9914981,3
2025-02-14,CO,41.303097,1.9914981,0.3
2025-02-14,PM10,41.370476,2.1149993,32
2025-02-14,NOX,41.370476,2.1149993,106
2025-02-14,NO,41.370476,2.1149993,29
2025-02-14,NO2,41.370476,2.1149993,75
2025-02-14,NO,41.425594,2.2221997,57
2025-02-14,NO2,41.425594,2.2221997,69
2025-02-14,PM10,41.425594,2.2221997,38
2025-02-14,NOX,41.425594,2.2221997,139
2025-02-14,O3,41.425594,2.2221997,68
2025-02-14,NO,41.447422,2.209497,55
2025-02-14,NO2,41.447422,2.209497,68
2025-02-14,NOX,41.447422,2.209497,128
2025-01-06,O3,41.303097,1.9914981,78
2025-01-06,SO2,41.303097,1.9914981,25
2025-01-06,CO,41.303097,1.9914981,25
2025-01-06,NOX,41.303097,1.9914981,25
2025-01-06,NO2,41.303097,1.9914981,25
2025-01-06,NO,41.370476,2.1149993,29
2025-01-06,NO2,41.370476,2.1149993,62
2025-01-06,PM10,41.370476,2.1149993,48
2025-01-06,NOX,41.370476,2.1149993,95
2025-01-06,NO,41.425594,2.2221997,10
2025-01-06,NO2,41.425594,2.2221997,54
2025-01-06,PM10,41.425594,2.2221997,32
2025-01-06,NOX,41.425594,2.2221997,63
2025-01-06,O3,41.425594,2.2221997,63
2025-01-06,NO,41.447422,2.209497,23
2025-01-06,NO2,41.447422,2.209497,43
2025-01-06,NOX,41.447422,2.209497,47
